report_100_0.005_0.01_2.txt:0.8120 	 AUC
report_100_0.005_0.01_5.txt:0.8140 	 AUC
report_100_0.005_0.1_0.01.txt:0.8036 	 AUC
report_100_0.005_0.1_0.1.txt:0.8127 	 AUC
report_100_0.005_0.1_0.5.txt:0.8188 	 AUC
report_100_0.005_0.1_1.txt:0.8193 	 AUC
report_100_0.005_0.1_10.txt:0.8192 	 AUC
report_100_0.005_0.1_2.txt:0.8209 	 AUC
report_100_0.005_0.1_5.txt:0.8206 	 AUC
report_100_0.005_0.13_0.01.txt:0.8036 	 AUC
report_100_0.005_0.13_0.1.txt:0.8128 	 AUC
report_100_0.005_0.13_0.5.txt:0.8198 	 AUC
report_100_0.005_0.13_1.txt:0.8188 	 AUC
report_100_0.005_0.13_10.txt:0.8200 	 AUC
report_100_0.005_0.13_2.txt:0.8193 	 AUC
report_100_0.005_0.13_5.txt:0.8201 	 AUC
report_100_0.005_0.25_0.01.txt:0.8034 	 AUC
report_100_0.005_0.25_0.1.txt:0.8127 	 AUC
report_100_0.005_0.25_0.5.txt:0.8196 	 AUC
report_100_0.005_0.25_1.txt:0.8222 	 AUC
report_100_0.005_0.25_10.txt:0.8231 	 AUC
report_100_0.005_0.25_2.txt:0.8223 	 AUC
report_100_0.005_0.25_5.txt:0.8224 	 AUC
report_100_0.005_0.5_0.01.txt:0.8094 	 AUC
report_100_0.005_0.5_0.1.txt:0.8150 	 AUC
report_100_0.005_0.5_0.5.txt:0.8212 	 AUC
report_100_0.005_0.5_1.txt:0.8224 	 AUC
report_100_0.005_0.5_10.txt:0.5607 	 AUC
report_100_0.005_0.5_2.txt:0.8226 	 AUC
report_100_0.005_0.5_5.txt:0.8250 	 AUC
report_100_0.005_1_0.01.txt:0.8094 	 AUC
report_100_0.005_1_0.1.txt:0.8178 	 AUC
report_100_0.005_1_0.5.txt:0.8196 	 AUC
report_100_0.005_1_1.txt:0.8217 	 AUC
report_100_0.005_1_10.txt:0.5267 	 AUC
report_100_0.005_1_2.txt:0.8223 	 AUC
report_100_0.005_1_5.txt:0.5492 	 AUC
report_100_0.01_0.001_0.01.txt:0.8036 	 AUC
report_100_0.01_0.001_0.1.txt:0.8036 	 AUC
report_100_0.01_0.001_0.5.txt:0.8125 	 AUC
report_100_0.01_0.001_1.txt:0.8127 	 AUC
report_100_0.01_0.001_10.txt:0.8033 	 AUC
report_100_0.01_0.001_2.txt:0.8084 	 AUC
report_100_0.01_0.001_5.txt:0.8097 	 AUC
report_100_0.01_0.01_0.01.txt:0.8036 	 AUC
report_100_0.01_0.01_0.1.txt:0.8130 	 AUC
report_100_0.01_0.01_0.5.txt:0.8129 	 AUC
report_100_0.01_0.01_1.txt:0.8111 	 AUC
report_100_0.01_0.01_10.txt:0.8094 	 AUC
report_100_0.01_0.01_2.txt:0.8124 	 AUC
report_100_0.01_0.01_5.txt:0.8098 	 AUC
report_100_0.01_0.1_0.01.txt:0.8054 	 AUC
report_100_0.01_0.1_0.1.txt:0.8128 	 AUC
report_100_0.01_0.1_0.5.txt:0.8190 	 AUC
report_100_0.01_0.1_1.txt:0.8189 	 AUC
report_100_0.01_0.1_10.txt:0.8216 	 AUC
report_100_0.01_0.1_2.txt:0.8164 	 AUC
report_100_0.01_0.1_5.txt:0.8184 	 AUC
report_100_0.01_0.13_0.01.txt:0.8036 	 AUC
report_100_0.01_0.13_0.1.txt:0.8128 	 AUC
report_100_0.01_0.13_0.5.txt:0.8181 	 AUC
report_100_0.01_0.13_1.txt:0.8191 	 AUC
report_100_0.01_0.13_10.txt:0.8198 	 AUC
report_100_0.01_0.13_2.txt:0.8189 	 AUC
report_100_0.01_0.13_5.txt:0.8236 	 AUC
report_100_0.01_0.25_0.01.txt:0.8084 	 AUC
report_100_0.01_0.25_0.1.txt:0.8128 	 AUC
report_100_0.01_0.25_0.5.txt:0.8200 	 AUC
report_100_0.01_0.25_1.txt:0.8213 	 AUC
report_100_0.01_0.25_10.txt:0.8180 	 AUC
report_100_0.01_0.25_2.txt:0.8205 	 AUC
report_100_0.01_0.25_5.txt:0.8243 	 AUC
report_100_0.01_0.5_0.01.txt:0.8088 	 AUC
report_100_0.01_0.5_0.1.txt:0.8166 	 AUC
report_100_0.01_0.5_0.5.txt:0.8223 	 AUC
report_100_0.01_0.5_1.txt:0.8196 	 AUC
report_100_0.01_0.5_10.txt:0.5579 	 AUC
report_100_0.01_0.5_2.txt:0.8185 	 AUC
report_100_0.01_0.5_5.txt:0.8230 	 AUC
report_100_0.01_1_0.01.txt:0.8122 	 AUC
report_100_0.01_1_0.1.txt:0.8192 	 AUC
report_100_0.01_1_0.5.txt:0.8202 	 AUC
report_100_0.01_1_1.txt:0.8207 	 AUC
report_100_0.01_1_10.txt:0.5483 	 AUC
report_100_0.01_1_2.txt:0.8254 	 AUC
report_100_0.01_1_5.txt:0.5624 	 AUC
report_100_0.1_0.001_0.01.txt:0.8036 	 AUC
report_100_0.1_0.001_0.1.txt:0.8072 	 AUC
report_100_0.1_0.001_0.5.txt:0.8009 	 AUC
report_100_0.1_0.001_1.txt:0.7990 	 AUC
report_100_0.1_0.001_10.txt:0.7949 	 AUC
report_100_0.1_0.001_2.txt:0.8023 	 AUC
report_100_0.1_0.001_5.txt:0.8010 	 AUC
report_100_0.1_0.01_0.01.txt:0.8036 	 AUC
report_100_0.1_0.01_0.1.txt:0.8106 	 AUC
report_100_0.1_0.01_0.5.txt:0.8082 	 AUC
report_100_0.1_0.01_1.txt:0.8056 	 AUC
report_100_0.1_0.01_10.txt:0.7986 	 AUC
report_100_0.1_0.01_2.txt:0.8073 	 AUC
report_100_0.1_0.01_5.txt:0.8012 	 AUC
report_100_0.1_0.1_0.01.txt:0.8123 	 AUC
report_100_0.1_0.1_0.1.txt:0.8134 	 AUC
report_100_0.1_0.1_0.5.txt:0.8089 	 AUC
report_100_0.1_0.1_1.txt:0.8123 	 AUC
report_100_0.1_0.1_10.txt:0.8016 	 AUC
report_100_0.1_0.1_2.txt:0.8112 	 AUC
report_100_0.1_0.1_5.txt:0.7965 	 AUC
report_100_0.1_0.13_0.01.txt:0.8126 	 AUC
report_100_0.1_0.13_0.1.txt:0.8119 	 AUC
report_100_0.1_0.13_0.5.txt:0.8160 	 AUC
report_100_0.1_0.13_1.txt:0.8105 	 AUC
report_100_0.1_0.13_10.txt:0.8005 	 AUC
report_100_0.1_0.13_2.txt:0.8083 	 AUC
report_100_0.1_0.13_5.txt:0.8048 	 AUC
report_100_0.1_0.25_0.01.txt:0.8126 	 AUC
report_100_0.1_0.25_0.1.txt:0.8132 	 AUC
report_100_0.1_0.25_0.5.txt:0.8122 	 AUC
report_100_0.1_0.25_1.txt:0.8131 	 AUC
report_100_0.1_0.25_10.txt:0.8108 	 AUC
report_100_0.1_0.25_2.txt:0.8090 	 AUC
report_100_0.1_0.25_5.txt:0.8177 	 AUC
report_100_0.1_0.5_0.01.txt:0.8126 	 AUC
report_100_0.1_0.5_0.1.txt:0.8157 	 AUC
report_100_0.1_0.5_0.5.txt:0.8159 	 AUC
report_100_0.1_0.5_1.txt:0.8240 	 AUC
report_100_0.1_0.5_10.txt:0.8018 	 AUC
report_100_0.1_0.5_2.txt:0.8147 	 AUC
report_100_0.1_0.5_5.txt:0.8112 	 AUC
report_100_0.1_1_0.01.txt:0.8127 	 AUC
report_100_0.1_1_0.1.txt:0.8180 	 AUC
report_100_0.1_1_0.5.txt:0.8221 	 AUC
report_100_0.1_1_1.txt:0.8192 	 AUC
report_100_0.1_1_10.txt:0.7274 	 AUC
report_100_0.1_1_2.txt:0.8192 	 AUC
report_100_0.1_1_5.txt:0.7876 	 AUC
report_100_1_0.001_0.01.txt:0.8028 	 AUC
report_100_1_0.001_0.1.txt:0.8026 	 AUC
report_100_1_0.001_0.5.txt:0.7996 	 AUC
report_100_1_0.001_1.txt:0.7963 	 AUC
report_100_1_0.001_10.txt:0.7785 	 AUC
report_100_1_0.001_2.txt:0.7952 	 AUC
report_100_1_0.001_5.txt:0.7714 	 AUC
report_100_1_0.01_0.01.txt:0.8092 	 AUC
report_100_1_0.01_0.1.txt:0.8019 	 AUC
report_100_1_0.01_0.5.txt:0.8046 	 AUC
report_100_1_0.01_1.txt:0.8044 	 AUC
report_100_1_0.01_10.txt:0.7709 	 AUC
report_100_1_0.01_2.txt:0.7911 	 AUC
report_100_1_0.01_5.txt:0.7801 	 AUC
report_100_1_0.1_0.01.txt:0.8121 	 AUC
report_100_1_0.1_0.1.txt:0.8002 	 AUC
report_100_1_0.1_0.5.txt:0.8000 	 AUC
report_100_1_0.1_1.txt:0.7992 	 AUC
report_100_1_0.1_10.txt:0.7682 	 AUC
report_100_1_0.1_2.txt:0.8008 	 AUC
report_100_1_0.1_5.txt:0.7828 	 AUC
report_100_1_0.13_0.01.txt:0.8111 	 AUC
report_100_1_0.13_0.1.txt:0.8074 	 AUC
report_100_1_0.13_0.5.txt:0.7995 	 AUC
report_100_1_0.13_1.txt:0.7990 	 AUC
report_100_1_0.13_10.txt:0.7702 	 AUC
report_100_1_0.13_2.txt:0.7944 	 AUC
report_100_1_0.13_5.txt:0.7738 	 AUC
report_100_1_0.25_0.01.txt:0.8119 	 AUC
report_100_1_0.25_0.1.txt:0.8088 	 AUC
report_100_1_0.25_0.5.txt:0.8004 	 AUC
report_100_1_0.25_1.txt:0.8005 	 AUC
report_100_1_0.25_10.txt:0.7723 	 AUC
report_100_1_0.25_2.txt:0.7848 	 AUC
report_100_1_0.25_5.txt:0.7714 	 AUC
report_100_1_0.5_0.01.txt:0.8113 	 AUC
report_100_1_0.5_0.1.txt:0.8094 	 AUC
report_100_1_0.5_0.5.txt:0.8046 	 AUC
report_100_1_0.5_1.txt:0.7997 	 AUC
report_100_1_0.5_10.txt:0.7659 	 AUC
report_100_1_0.5_2.txt:0.7961 	 AUC
report_100_1_0.5_5.txt:0.7720 	 AUC
report_100_1_1_0.01.txt:0.8115 	 AUC
report_100_1_1_0.1.txt:0.8119 	 AUC
report_100_1_1_0.5.txt:0.8051 	 AUC
report_100_1_1_1.txt:0.8041 	 AUC
report_100_1_1_10.txt:0.7808 	 AUC
report_100_1_1_2.txt:0.7821 	 AUC
report_100_1_1_5.txt:0.7710 	 AUC
report_100_10_0.001_0.01.txt:0.8028 	 AUC
report_100_10_0.001_0.1.txt:0.7991 	 AUC
report_100_10_0.001_0.5.txt:0.7524 	 AUC
report_100_10_0.001_1.txt:0.7749 	 AUC
report_100_10_0.001_10.txt:0.7367 	 AUC
report_100_10_0.001_2.txt:0.7624 	 AUC
report_100_10_0.001_5.txt:0.7547 	 AUC
report_100_10_0.01_0.01.txt:0.8018 	 AUC
report_100_10_0.01_0.1.txt:0.7955 	 AUC
report_100_10_0.01_0.5.txt:0.7809 	 AUC
report_100_10_0.01_1.txt:0.7737 	 AUC
report_100_10_0.01_10.txt:0.7651 	 AUC
report_100_10_0.01_2.txt:0.7345 	 AUC
report_100_10_0.01_5.txt:0.7362 	 AUC
report_100_10_0.1_0.01.txt:0.7971 	 AUC
report_100_10_0.1_0.1.txt:0.8023 	 AUC
report_100_10_0.1_0.5.txt:0.7613 	 AUC
report_100_10_0.1_1.txt:0.7544 	 AUC
report_100_10_0.1_10.txt:0.7407 	 AUC
report_100_10_0.1_2.txt:0.7564 	 AUC
report_100_10_0.1_5.txt:0.7585 	 AUC
report_100_10_0.13_0.01.txt:0.7992 	 AUC
report_100_10_0.13_0.1.txt:0.8003 	 AUC
report_100_10_0.13_0.5.txt:0.7776 	 AUC
report_100_10_0.13_1.txt:0.7665 	 AUC
report_100_10_0.13_10.txt:0.7304 	 AUC
report_100_10_0.13_2.txt:0.7670 	 AUC
report_100_10_0.13_5.txt:0.7569 	 AUC
report_100_10_0.25_0.01.txt:0.8053 	 AUC
report_100_10_0.25_0.1.txt:0.7981 	 AUC
report_100_10_0.25_0.5.txt:0.7708 	 AUC
report_100_10_0.25_1.txt:0.7733 	 AUC
report_100_10_0.25_10.txt:0.7483 	 AUC
report_100_10_0.25_2.txt:0.7376 	 AUC
report_100_10_0.25_5.txt:0.7476 	 AUC
report_100_10_0.5_0.01.txt:0.8054 	 AUC
report_100_10_0.5_0.1.txt:0.7978 	 AUC
report_100_10_0.5_0.5.txt:0.7697 	 AUC
report_100_10_0.5_1.txt:0.7688 	 AUC
report_100_10_0.5_10.txt:0.7584 	 AUC
report_100_10_0.5_2.txt:0.7665 	 AUC
report_100_10_0.5_5.txt:0.7615 	 AUC
report_100_10_1_0.01.txt:0.8037 	 AUC
report_100_10_1_0.1.txt:0.7997 	 AUC
report_100_10_1_0.5.txt:0.7802 	 AUC
report_100_10_1_1.txt:0.7745 	 AUC
report_100_10_1_10.txt:0.7407 	 AUC
report_100_10_1_2.txt:0.7458 	 AUC
report_100_10_1_5.txt:0.7418 	 AUC
report_150_0.0001_0.001_0.01.txt:0.8036 	 AUC
report_150_0.0001_0.001_0.1.txt:0.8036 	 AUC
report_150_0.0001_0.001_0.5.txt:0.8036 	 AUC
report_150_0.0001_0.001_1.txt:0.8034 	 AUC
report_150_0.0001_0.001_10.txt:0.8127 	 AUC
report_150_0.0001_0.001_2.txt:0.8103 	 AUC
report_150_0.0001_0.001_5.txt:0.8129 	 AUC
report_150_0.0001_0.01_0.01.txt:0.8038 	 AUC
report_150_0.0001_0.01_0.1.txt:0.8036 	 AUC
