report_100_0.005_0.1_0.5.txt:0.1879 	 F1
report_100_0.005_0.1_1.txt:0.1889 	 F1
report_100_0.005_0.1_10.txt:0.1895 	 F1
report_100_0.005_0.1_2.txt:0.1904 	 F1
report_100_0.005_0.1_5.txt:0.1946 	 F1
report_100_0.005_0.13_0.01.txt:0.1852 	 F1
report_100_0.005_0.13_0.1.txt:0.1854 	 F1
report_100_0.005_0.13_0.5.txt:0.1905 	 F1
report_100_0.005_0.13_1.txt:0.1903 	 F1
report_100_0.005_0.13_10.txt:0.1884 	 F1
report_100_0.005_0.13_2.txt:0.1878 	 F1
report_100_0.005_0.13_5.txt:0.1879 	 F1
report_100_0.005_0.25_0.01.txt:0.1859 	 F1
report_100_0.005_0.25_0.1.txt:0.1867 	 F1
report_100_0.005_0.25_0.5.txt:0.1898 	 F1
report_100_0.005_0.25_1.txt:0.1888 	 F1
report_100_0.005_0.25_10.txt:0.1861 	 F1
report_100_0.005_0.25_2.txt:0.1890 	 F1
report_100_0.005_0.25_5.txt:0.1900 	 F1
report_100_0.005_0.5_0.01.txt:0.1859 	 F1
report_100_0.005_0.5_0.1.txt:0.1895 	 F1
report_100_0.005_0.5_0.5.txt:0.1862 	 F1
report_100_0.005_0.5_1.txt:0.1893 	 F1
report_100_0.005_0.5_10.txt:0.0471 	 F1
report_100_0.005_0.5_2.txt:0.1864 	 F1
report_100_0.005_0.5_5.txt:0.1957 	 F1
report_100_0.005_1_0.01.txt:0.1836 	 F1
report_100_0.005_1_0.1.txt:0.1874 	 F1
report_100_0.005_1_0.5.txt:0.1895 	 F1
report_100_0.005_1_1.txt:0.1862 	 F1
report_100_0.005_1_10.txt:0.0306 	 F1
report_100_0.005_1_2.txt:0.1894 	 F1
report_100_0.005_1_5.txt:0.0320 	 F1
report_100_0.01_0.001_0.01.txt:0.1847 	 F1
report_100_0.01_0.001_0.1.txt:0.1848 	 F1
report_100_0.01_0.001_0.5.txt:0.1959 	 F1
report_100_0.01_0.001_1.txt:0.1898 	 F1
report_100_0.01_0.001_10.txt:0.1981 	 F1
report_100_0.01_0.001_2.txt:0.1961 	 F1
report_100_0.01_0.001_5.txt:0.1938 	 F1
report_100_0.01_0.01_0.01.txt:0.1848 	 F1
report_100_0.01_0.01_0.1.txt:0.1850 	 F1
report_100_0.01_0.01_0.5.txt:0.1877 	 F1
report_100_0.01_0.01_1.txt:0.1906 	 F1
report_100_0.01_0.01_10.txt:0.1991 	 F1
report_100_0.01_0.01_2.txt:0.1925 	 F1
report_100_0.01_0.01_5.txt:0.1886 	 F1
report_100_0.01_0.1_0.01.txt:0.1858 	 F1
report_100_0.01_0.1_0.1.txt:0.1859 	 F1
report_100_0.01_0.1_0.5.txt:0.1944 	 F1
report_100_0.01_0.1_1.txt:0.1952 	 F1
report_100_0.01_0.1_10.txt:0.1922 	 F1
report_100_0.01_0.1_2.txt:0.1903 	 F1
report_100_0.01_0.1_5.txt:0.1924 	 F1
report_100_0.01_0.13_0.01.txt:0.1858 	 F1
report_100_0.01_0.13_0.1.txt:0.1864 	 F1
report_100_0.01_0.13_0.5.txt:0.1923 	 F1
report_100_0.01_0.13_1.txt:0.1879 	 F1
report_100_0.01_0.13_10.txt:0.1885 	 F1
report_100_0.01_0.13_2.txt:0.1922 	 F1
report_100_0.01_0.13_5.txt:0.1897 	 F1
report_100_0.01_0.25_0.01.txt:0.1819 	 F1
report_100_0.01_0.25_0.1.txt:0.1870 	 F1
report_100_0.01_0.25_0.5.txt:0.1876 	 F1
report_100_0.01_0.25_1.txt:0.1921 	 F1
report_100_0.01_0.25_10.txt:0.1850 	 F1
report_100_0.01_0.25_2.txt:0.1851 	 F1
report_100_0.01_0.25_5.txt:0.1902 	 F1
report_100_0.01_0.5_0.01.txt:0.1820 	 F1
report_100_0.01_0.5_0.1.txt:0.1892 	 F1
report_100_0.01_0.5_0.5.txt:0.1876 	 F1
report_100_0.01_0.5_1.txt:0.1850 	 F1
report_100_0.01_0.5_10.txt:0.0368 	 F1
report_100_0.01_0.5_2.txt:0.1894 	 F1
report_100_0.01_0.5_5.txt:0.1838 	 F1
report_100_0.01_1_0.01.txt:0.1864 	 F1
report_100_0.01_1_0.1.txt:0.1886 	 F1
report_100_0.01_1_0.5.txt:0.1885 	 F1
report_100_0.01_1_1.txt:0.1892 	 F1
report_100_0.01_1_10.txt:0.0324 	 F1
report_100_0.01_1_2.txt:0.1854 	 F1
report_100_0.01_1_5.txt:0.0391 	 F1
report_100_0.1_0.001_0.01.txt:0.1847 	 F1
report_100_0.1_0.001_0.1.txt:0.1969 	 F1
report_100_0.1_0.001_0.5.txt:0.2112 	 F1
report_100_0.1_0.001_1.txt:0.1998 	 F1
report_100_0.1_0.001_10.txt:0.1912 	 F1
report_100_0.1_0.001_2.txt:0.2042 	 F1
report_100_0.1_0.001_5.txt:0.1961 	 F1
report_100_0.1_0.01_0.01.txt:0.1847 	 F1
report_100_0.1_0.01_0.1.txt:0.1985 	 F1
report_100_0.1_0.01_0.5.txt:0.2012 	 F1
report_100_0.1_0.01_1.txt:0.1953 	 F1
report_100_0.1_0.01_10.txt:0.1876 	 F1
report_100_0.1_0.01_2.txt:0.1871 	 F1
report_100_0.1_0.01_5.txt:0.1924 	 F1
report_100_0.1_0.1_0.01.txt:0.1833 	 F1
report_100_0.1_0.1_0.1.txt:0.1862 	 F1
report_100_0.1_0.1_0.5.txt:0.1900 	 F1
report_100_0.1_0.1_1.txt:0.1929 	 F1
report_100_0.1_0.1_10.txt:0.1845 	 F1
report_100_0.1_0.1_2.txt:0.1938 	 F1
report_100_0.1_0.1_5.txt:0.1998 	 F1
report_100_0.1_0.13_0.01.txt:0.1865 	 F1
report_100_0.1_0.13_0.1.txt:0.1984 	 F1
report_100_0.1_0.13_0.5.txt:0.1954 	 F1
report_100_0.1_0.13_1.txt:0.2002 	 F1
report_100_0.1_0.13_10.txt:0.1859 	 F1
report_100_0.1_0.13_2.txt:0.1974 	 F1
report_100_0.1_0.13_5.txt:0.1889 	 F1
report_100_0.1_0.25_0.01.txt:0.1854 	 F1
report_100_0.1_0.25_0.1.txt:0.2010 	 F1
report_100_0.1_0.25_0.5.txt:0.1973 	 F1
report_100_0.1_0.25_1.txt:0.1978 	 F1
report_100_0.1_0.25_10.txt:0.1884 	 F1
report_100_0.1_0.25_2.txt:0.2069 	 F1
report_100_0.1_0.25_5.txt:0.2050 	 F1
report_100_0.1_0.5_0.01.txt:0.1867 	 F1
report_100_0.1_0.5_0.1.txt:0.1984 	 F1
report_100_0.1_0.5_0.5.txt:0.1996 	 F1
report_100_0.1_0.5_1.txt:0.1987 	 F1
report_100_0.1_0.5_10.txt:0.1611 	 F1
report_100_0.1_0.5_2.txt:0.1974 	 F1
report_100_0.1_0.5_5.txt:0.1918 	 F1
report_100_0.1_1_0.01.txt:0.1868 	 F1
report_100_0.1_1_0.1.txt:0.1858 	 F1
report_100_0.1_1_0.5.txt:0.1886 	 F1
report_100_0.1_1_1.txt:0.1896 	 F1
report_100_0.1_1_10.txt:0.1033 	 F1
report_100_0.1_1_2.txt:0.1841 	 F1
report_100_0.1_1_5.txt:0.1599 	 F1
report_100_1_0.001_0.01.txt:0.1915 	 F1
report_100_1_0.001_0.1.txt:0.1937 	 F1
report_100_1_0.001_0.5.txt:0.2001 	 F1
report_100_1_0.001_1.txt:0.1907 	 F1
report_100_1_0.001_10.txt:0.1637 	 F1
report_100_1_0.001_2.txt:0.1855 	 F1
report_100_1_0.001_5.txt:0.1492 	 F1
report_100_1_0.01_0.01.txt:0.2032 	 F1
report_100_1_0.01_0.1.txt:0.1931 	 F1
report_100_1_0.01_0.5.txt:0.1991 	 F1
report_100_1_0.01_1.txt:0.1897 	 F1
report_100_1_0.01_10.txt:0.1667 	 F1
report_100_1_0.01_2.txt:0.1723 	 F1
report_100_1_0.01_5.txt:0.1488 	 F1
report_100_1_0.1_0.01.txt:0.1867 	 F1
report_100_1_0.1_0.1.txt:0.2080 	 F1
report_100_1_0.1_0.5.txt:0.1910 	 F1
report_100_1_0.1_1.txt:0.1910 	 F1
report_100_1_0.1_10.txt:0.1405 	 F1
report_100_1_0.1_2.txt:0.1926 	 F1
report_100_1_0.1_5.txt:0.1720 	 F1
report_100_1_0.13_0.01.txt:0.1967 	 F1
report_100_1_0.13_0.1.txt:0.1860 	 F1
report_100_1_0.13_0.5.txt:0.2045 	 F1
report_100_1_0.13_1.txt:0.1851 	 F1
report_100_1_0.13_10.txt:0.1421 	 F1
report_100_1_0.13_2.txt:0.1875 	 F1
report_100_1_0.13_5.txt:0.1563 	 F1
report_100_1_0.25_0.01.txt:0.1884 	 F1
report_100_1_0.25_0.1.txt:0.1979 	 F1
report_100_1_0.25_0.5.txt:0.1962 	 F1
report_100_1_0.25_1.txt:0.1954 	 F1
report_100_1_0.25_10.txt:0.1519 	 F1
report_100_1_0.25_2.txt:0.1890 	 F1
report_100_1_0.25_5.txt:0.1486 	 F1
report_100_1_0.5_0.01.txt:0.1900 	 F1
report_100_1_0.5_0.1.txt:0.1937 	 F1
report_100_1_0.5_0.5.txt:0.1984 	 F1
report_100_1_0.5_1.txt:0.1844 	 F1
