report_100_0.005_0.1_0.5.txt:0.2634 	 Re
report_100_0.005_0.1_1.txt:0.2505 	 Re
report_100_0.005_0.1_10.txt:0.2722 	 Re
report_100_0.005_0.1_2.txt:0.2699 	 Re
report_100_0.005_0.1_5.txt:0.2684 	 Re
report_100_0.005_0.13_0.01.txt:0.2272 	 Re
report_100_0.005_0.13_0.1.txt:0.2520 	 Re
report_100_0.005_0.13_0.5.txt:0.2493 	 Re
report_100_0.005_0.13_1.txt:0.2642 	 Re
report_100_0.005_0.13_10.txt:0.2417 	 Re
report_100_0.005_0.13_2.txt:0.2722 	 Re
report_100_0.005_0.13_5.txt:0.2825 	 Re
report_100_0.005_0.25_0.01.txt:0.2299 	 Re
report_100_0.005_0.25_0.1.txt:0.2558 	 Re
report_100_0.005_0.25_0.5.txt:0.2695 	 Re
report_100_0.005_0.25_1.txt:0.2638 	 Re
report_100_0.005_0.25_10.txt:0.2440 	 Re
report_100_0.005_0.25_2.txt:0.2638 	 Re
report_100_0.005_0.25_5.txt:0.2718 	 Re
report_100_0.005_0.5_0.01.txt:0.2204 	 Re
report_100_0.005_0.5_0.1.txt:0.2703 	 Re
report_100_0.005_0.5_0.5.txt:0.2600 	 Re
report_100_0.005_0.5_1.txt:0.2722 	 Re
report_100_0.005_0.5_10.txt:0.1079 	 Re
report_100_0.005_0.5_2.txt:0.2516 	 Re
report_100_0.005_0.5_5.txt:0.2753 	 Re
report_100_0.005_1_0.01.txt:0.2287 	 Re
report_100_0.005_1_0.1.txt:0.2570 	 Re
report_100_0.005_1_0.5.txt:0.2753 	 Re
report_100_0.005_1_1.txt:0.2718 	 Re
report_100_0.005_1_10.txt:0.4663 	 Re
report_100_0.005_1_2.txt:0.2531 	 Re
report_100_0.005_1_5.txt:0.4884 	 Re
report_100_0.01_0.001_0.01.txt:0.2272 	 Re
report_100_0.01_0.001_0.1.txt:0.2318 	 Re
report_100_0.01_0.001_0.5.txt:0.2669 	 Re
report_100_0.01_0.001_1.txt:0.2600 	 Re
report_100_0.01_0.001_10.txt:0.2562 	 Re
report_100_0.01_0.001_2.txt:0.2615 	 Re
report_100_0.01_0.001_5.txt:0.2436 	 Re
report_100_0.01_0.01_0.01.txt:0.2318 	 Re
report_100_0.01_0.01_0.1.txt:0.2547 	 Re
report_100_0.01_0.01_0.5.txt:0.2509 	 Re
report_100_0.01_0.01_1.txt:0.2688 	 Re
report_100_0.01_0.01_10.txt:0.2726 	 Re
report_100_0.01_0.01_2.txt:0.2406 	 Re
report_100_0.01_0.01_5.txt:0.2600 	 Re
report_100_0.01_0.1_0.01.txt:0.2215 	 Re
report_100_0.01_0.1_0.1.txt:0.2520 	 Re
report_100_0.01_0.1_0.5.txt:0.2734 	 Re
report_100_0.01_0.1_1.txt:0.2650 	 Re
report_100_0.01_0.1_10.txt:0.2295 	 Re
report_100_0.01_0.1_2.txt:0.2589 	 Re
report_100_0.01_0.1_5.txt:0.2531 	 Re
report_100_0.01_0.13_0.01.txt:0.2318 	 Re
report_100_0.01_0.13_0.1.txt:0.2520 	 Re
report_100_0.01_0.13_0.5.txt:0.2707 	 Re
report_100_0.01_0.13_1.txt:0.2596 	 Re
report_100_0.01_0.13_10.txt:0.2573 	 Re
report_100_0.01_0.13_2.txt:0.2608 	 Re
report_100_0.01_0.13_5.txt:0.2566 	 Re
report_100_0.01_0.25_0.01.txt:0.2341 	 Re
report_100_0.01_0.25_0.1.txt:0.2543 	 Re
report_100_0.01_0.25_0.5.txt:0.2753 	 Re
report_100_0.01_0.25_1.txt:0.2612 	 Re
report_100_0.01_0.25_10.txt:0.2596 	 Re
report_100_0.01_0.25_2.txt:0.2753 	 Re
report_100_0.01_0.25_5.txt:0.2627 	 Re
report_100_0.01_0.5_0.01.txt:0.2390 	 Re
report_100_0.01_0.5_0.1.txt:0.2562 	 Re
report_100_0.01_0.5_0.5.txt:0.2585 	 Re
report_100_0.01_0.5_1.txt:0.2631 	 Re
report_100_0.01_0.5_10.txt:0.1723 	 Re
report_100_0.01_0.5_2.txt:0.2490 	 Re
report_100_0.01_0.5_5.txt:0.2272 	 Re
report_100_0.01_1_0.01.txt:0.2459 	 Re
report_100_0.01_1_0.1.txt:0.2745 	 Re
report_100_0.01_1_0.5.txt:0.2661 	 Re
report_100_0.01_1_1.txt:0.2779 	 Re
report_100_0.01_1_10.txt:0.2581 	 Re
report_100_0.01_1_2.txt:0.2821 	 Re
report_100_0.01_1_5.txt:0.0911 	 Re
report_100_0.1_0.001_0.01.txt:0.2272 	 Re
report_100_0.1_0.001_0.1.txt:0.2013 	 Re
report_100_0.1_0.001_0.5.txt:0.2421 	 Re
report_100_0.1_0.001_1.txt:0.2200 	 Re
report_100_0.1_0.001_10.txt:0.2036 	 Re
report_100_0.1_0.001_2.txt:0.2379 	 Re
report_100_0.1_0.001_5.txt:0.2448 	 Re
report_100_0.1_0.01_0.01.txt:0.2318 	 Re
report_100_0.1_0.01_0.1.txt:0.2394 	 Re
report_100_0.1_0.01_0.5.txt:0.2421 	 Re
report_100_0.1_0.01_1.txt:0.2482 	 Re
report_100_0.1_0.01_10.txt:0.2272 	 Re
report_100_0.1_0.01_2.txt:0.2188 	 Re
report_100_0.1_0.01_5.txt:0.2299 	 Re
report_100_0.1_0.1_0.01.txt:0.2341 	 Re
report_100_0.1_0.1_0.1.txt:0.2520 	 Re
report_100_0.1_0.1_0.5.txt:0.2669 	 Re
report_100_0.1_0.1_1.txt:0.2470 	 Re
report_100_0.1_0.1_10.txt:0.2280 	 Re
report_100_0.1_0.1_2.txt:0.2402 	 Re
report_100_0.1_0.1_5.txt:0.2017 	 Re
report_100_0.1_0.13_0.01.txt:0.2673 	 Re
report_100_0.1_0.13_0.1.txt:0.2779 	 Re
report_100_0.1_0.13_0.5.txt:0.2261 	 Re
report_100_0.1_0.13_1.txt:0.2459 	 Re
report_100_0.1_0.13_10.txt:0.2368 	 Re
report_100_0.1_0.13_2.txt:0.2463 	 Re
report_100_0.1_0.13_5.txt:0.2684 	 Re
report_100_0.1_0.25_0.01.txt:0.2676 	 Re
report_100_0.1_0.25_0.1.txt:0.2531 	 Re
report_100_0.1_0.25_0.5.txt:0.2383 	 Re
report_100_0.1_0.25_1.txt:0.2756 	 Re
report_100_0.1_0.25_10.txt:0.2516 	 Re
report_100_0.1_0.25_2.txt:0.2692 	 Re
report_100_0.1_0.25_5.txt:0.2581 	 Re
report_100_0.1_0.5_0.01.txt:0.2528 	 Re
report_100_0.1_0.5_0.1.txt:0.2737 	 Re
report_100_0.1_0.5_0.5.txt:0.2638 	 Re
report_100_0.1_0.5_1.txt:0.2646 	 Re
report_100_0.1_0.5_10.txt:0.2310 	 Re
report_100_0.1_0.5_2.txt:0.2390 	 Re
report_100_0.1_0.5_5.txt:0.2257 	 Re
report_100_0.1_1_0.01.txt:0.2505 	 Re
report_100_0.1_1_0.1.txt:0.2634 	 Re
report_100_0.1_1_0.5.txt:0.2692 	 Re
report_100_0.1_1_1.txt:0.2409 	 Re
report_100_0.1_1_10.txt:0.1906 	 Re
report_100_0.1_1_2.txt:0.2871 	 Re
report_100_0.1_1_5.txt:0.2287 	 Re
report_100_1_0.001_0.01.txt:0.2402 	 Re
report_100_1_0.001_0.1.txt:0.2493 	 Re
report_100_1_0.001_0.5.txt:0.2612 	 Re
report_100_1_0.001_1.txt:0.2307 	 Re
