report_100_0.005_0.01_2.txt:0.1586 	 Pr
report_100_0.005_0.01_5.txt:0.1602 	 Pr
report_100_0.005_0.1_0.01.txt:0.1554 	 Pr
report_100_0.005_0.1_0.1.txt:0.1487 	 Pr
report_100_0.005_0.1_0.5.txt:0.1460 	 Pr
report_100_0.005_0.1_1.txt:0.1517 	 Pr
report_100_0.005_0.1_10.txt:0.1454 	 Pr
report_100_0.005_0.1_2.txt:0.1471 	 Pr
report_100_0.005_0.1_5.txt:0.1526 	 Pr
report_100_0.005_0.13_0.01.txt:0.1563 	 Pr
report_100_0.005_0.13_0.1.txt:0.1467 	 Pr
report_100_0.005_0.13_0.5.txt:0.1541 	 Pr
report_100_0.005_0.13_1.txt:0.1487 	 Pr
report_100_0.005_0.13_10.txt:0.1543 	 Pr
report_100_0.005_0.13_2.txt:0.1434 	 Pr
report_100_0.005_0.13_5.txt:0.1408 	 Pr
report_100_0.005_0.25_0.01.txt:0.1561 	 Pr
report_100_0.005_0.25_0.1.txt:0.1470 	 Pr
report_100_0.005_0.25_0.5.txt:0.1465 	 Pr
report_100_0.005_0.25_1.txt:0.1470 	 Pr
report_100_0.005_0.25_10.txt:0.1504 	 Pr
report_100_0.005_0.25_2.txt:0.1473 	 Pr
report_100_0.005_0.25_5.txt:0.1460 	 Pr
report_100_0.005_0.5_0.01.txt:0.1608 	 Pr
report_100_0.005_0.5_0.1.txt:0.1459 	 Pr
report_100_0.005_0.5_0.5.txt:0.1450 	 Pr
report_100_0.005_0.5_1.txt:0.1451 	 Pr
report_100_0.005_0.5_10.txt:0.0301 	 Pr
report_100_0.005_0.5_2.txt:0.1480 	 Pr
report_100_0.005_0.5_5.txt:0.1519 	 Pr
report_100_0.005_1_0.01.txt:0.1534 	 Pr
report_100_0.005_1_0.1.txt:0.1475 	 Pr
report_100_0.005_1_0.5.txt:0.1445 	 Pr
report_100_0.005_1_1.txt:0.1416 	 Pr
report_100_0.005_1_10.txt:0.0158 	 Pr
report_100_0.005_1_2.txt:0.1513 	 Pr
report_100_0.005_1_5.txt:0.0165 	 Pr
report_100_0.01_0.001_0.01.txt:0.1556 	 Pr
report_100_0.01_0.001_0.1.txt:0.1537 	 Pr
report_100_0.01_0.001_0.5.txt:0.1548 	 Pr
report_100_0.01_0.001_1.txt:0.1494 	 Pr
report_100_0.01_0.001_10.txt:0.1615 	 Pr
report_100_0.01_0.001_2.txt:0.1569 	 Pr
report_100_0.01_0.001_5.txt:0.1610 	 Pr
report_100_0.01_0.01_0.01.txt:0.1537 	 Pr
report_100_0.01_0.01_0.1.txt:0.1453 	 Pr
report_100_0.01_0.01_0.5.txt:0.1499 	 Pr
report_100_0.01_0.01_1.txt:0.1476 	 Pr
report_100_0.01_0.01_10.txt:0.1568 	 Pr
report_100_0.01_0.01_2.txt:0.1605 	 Pr
report_100_0.01_0.01_5.txt:0.1480 	 Pr
report_100_0.01_0.1_0.01.txt:0.1601 	 Pr
report_100_0.01_0.1_0.1.txt:0.1473 	 Pr
report_100_0.01_0.1_0.5.txt:0.1509 	 Pr
report_100_0.01_0.1_1.txt:0.1545 	 Pr
report_100_0.01_0.1_10.txt:0.1653 	 Pr
report_100_0.01_0.1_2.txt:0.1504 	 Pr
report_100_0.01_0.1_5.txt:0.1552 	 Pr
report_100_0.01_0.13_0.01.txt:0.1551 	 Pr
report_100_0.01_0.13_0.1.txt:0.1479 	 Pr
report_100_0.01_0.13_0.5.txt:0.1491 	 Pr
report_100_0.01_0.13_1.txt:0.1472 	 Pr
report_100_0.01_0.13_10.txt:0.1487 	 Pr
report_100_0.01_0.13_2.txt:0.1522 	 Pr
report_100_0.01_0.13_5.txt:0.1504 	 Pr
report_100_0.01_0.25_0.01.txt:0.1488 	 Pr
report_100_0.01_0.25_0.1.txt:0.1479 	 Pr
report_100_0.01_0.25_0.5.txt:0.1423 	 Pr
report_100_0.01_0.25_1.txt:0.1520 	 Pr
report_100_0.01_0.25_10.txt:0.1437 	 Pr
report_100_0.01_0.25_2.txt:0.1394 	 Pr
report_100_0.01_0.25_5.txt:0.1491 	 Pr
report_100_0.01_0.5_0.01.txt:0.1469 	 Pr
report_100_0.01_0.5_0.1.txt:0.1500 	 Pr
report_100_0.01_0.5_0.5.txt:0.1472 	 Pr
report_100_0.01_0.5_1.txt:0.1426 	 Pr
report_100_0.01_0.5_10.txt:0.0206 	 Pr
report_100_0.01_0.5_2.txt:0.1528 	 Pr
report_100_0.01_0.5_5.txt:0.1543 	 Pr
report_100_0.01_1_0.01.txt:0.1501 	 Pr
report_100_0.01_1_0.1.txt:0.1436 	 Pr
report_100_0.01_1_0.5.txt:0.1460 	 Pr
report_100_0.01_1_1.txt:0.1434 	 Pr
report_100_0.01_1_10.txt:0.0173 	 Pr
report_100_0.01_1_2.txt:0.1381 	 Pr
report_100_0.01_1_5.txt:0.0249 	 Pr
report_100_0.1_0.001_0.01.txt:0.1556 	 Pr
report_100_0.1_0.001_0.1.txt:0.1926 	 Pr
report_100_0.1_0.001_0.5.txt:0.1873 	 Pr
report_100_0.1_0.001_1.txt:0.1830 	 Pr
report_100_0.1_0.001_10.txt:0.1802 	 Pr
report_100_0.1_0.001_2.txt:0.1788 	 Pr
report_100_0.1_0.001_5.txt:0.1636 	 Pr
report_100_0.1_0.01_0.01.txt:0.1535 	 Pr
report_100_0.1_0.01_0.1.txt:0.1695 	 Pr
report_100_0.1_0.01_0.5.txt:0.1721 	 Pr
report_100_0.1_0.01_1.txt:0.1609 	 Pr
report_100_0.1_0.01_10.txt:0.1597 	 Pr
report_100_0.1_0.01_2.txt:0.1634 	 Pr
report_100_0.1_0.01_5.txt:0.1655 	 Pr
report_100_0.1_0.1_0.01.txt:0.1506 	 Pr
report_100_0.1_0.1_0.1.txt:0.1477 	 Pr
report_100_0.1_0.1_0.5.txt:0.1475 	 Pr
report_100_0.1_0.1_1.txt:0.1582 	 Pr
report_100_0.1_0.1_10.txt:0.1549 	 Pr
report_100_0.1_0.1_2.txt:0.1624 	 Pr
report_100_0.1_0.1_5.txt:0.1979 	 Pr
report_100_0.1_0.13_0.01.txt:0.1432 	 Pr
report_100_0.1_0.13_0.1.txt:0.1542 	 Pr
report_100_0.1_0.13_0.5.txt:0.1721 	 Pr
report_100_0.1_0.13_1.txt:0.1688 	 Pr
report_100_0.1_0.13_10.txt:0.1530 	 Pr
report_100_0.1_0.13_2.txt:0.1648 	 Pr
report_100_0.1_0.13_5.txt:0.1457 	 Pr
report_100_0.1_0.25_0.01.txt:0.1418 	 Pr
report_100_0.1_0.25_0.1.txt:0.1667 	 Pr
report_100_0.1_0.25_0.5.txt:0.1683 	 Pr
report_100_0.1_0.25_1.txt:0.1542 	 Pr
report_100_0.1_0.25_10.txt:0.1505 	 Pr
report_100_0.1_0.25_2.txt:0.1681 	 Pr
report_100_0.1_0.25_5.txt:0.1700 	 Pr
report_100_0.1_0.5_0.01.txt:0.1480 	 Pr
report_100_0.1_0.5_0.1.txt:0.1556 	 Pr
report_100_0.1_0.5_0.5.txt:0.1605 	 Pr
report_100_0.1_0.5_1.txt:0.1591 	 Pr
report_100_0.1_0.5_10.txt:0.1236 	 Pr
report_100_0.1_0.5_2.txt:0.1681 	 Pr
report_100_0.1_0.5_5.txt:0.1668 	 Pr
report_100_0.1_1_0.01.txt:0.1489 	 Pr
report_100_0.1_1_0.1.txt:0.1435 	 Pr
report_100_0.1_1_0.5.txt:0.1452 	 Pr
report_100_0.1_1_1.txt:0.1562 	 Pr
report_100_0.1_1_10.txt:0.0708 	 Pr
report_100_0.1_1_2.txt:0.1355 	 Pr
report_100_0.1_1_5.txt:0.1230 	 Pr
report_100_1_0.001_0.01.txt:0.1593 	 Pr
report_100_1_0.001_0.1.txt:0.1584 	 Pr
report_100_1_0.001_0.5.txt:0.1622 	 Pr
report_100_1_0.001_1.txt:0.1625 	 Pr
report_100_1_0.001_10.txt:0.1417 	 Pr
report_100_1_0.001_2.txt:0.1570 	 Pr
report_100_1_0.001_5.txt:0.1060 	 Pr
report_100_1_0.01_0.01.txt:0.1788 	 Pr
report_100_1_0.01_0.1.txt:0.1714 	 Pr
report_100_1_0.01_0.5.txt:0.1863 	 Pr
report_100_1_0.01_1.txt:0.1531 	 Pr
report_100_1_0.01_10.txt:0.1289 	 Pr
report_100_1_0.01_2.txt:0.1471 	 Pr
report_100_1_0.01_5.txt:0.1339 	 Pr
report_100_1_0.1_0.01.txt:0.1532 	 Pr
report_100_1_0.1_0.1.txt:0.1823 	 Pr
report_100_1_0.1_0.5.txt:0.1655 	 Pr
